artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
sisqo,incomplete,274226,TRUE,1999,60,76.51282051,44.34434434,1,-7.693,0,13.38541667,31.57894737,0,16.4126612,27.95477903,119.311,hip hop,4.570433333
jay-z,i just wanna love u (give it 2 me),227866,TRUE,2000,59,82.05128205,92.29229229,4,-5.125,0,41.66666667,33.70660694,9.31E-06,4.126611958,82.32271326,98.631,hip hop,3.797766667
mariah carey,thank god i found you (feat. joe & 98°),257360,FALSE,1999,59,35.69230769,53.25325325,10,-5.882,1,5.746527778,66.29339306,0,12.42672919,15.21068859,129.297,pop,4.289333333
baha men,who let the dogs out,198400,FALSE,2000,65,89.12820513,88.78878879,0,-4.505,1,17.23958333,6.774916013,0,17.35052755,80.57553957,129.221,R&B,3.306666667
donell jones,"u know what's up (feat. lisa ""left eye"" lopes)",243733,TRUE,1999,63,87.58974359,54.35435435,8,-6.166,0,14.65277778,4.501679731,5.73E-05,4.912075029,89.20863309,103.032,pop,4.062216667
leann rimes,can't fight the moonlight,215506,FALSE,2001,65,64.41025641,83.48348348,6,-6.341,0,8.628472222,45.1287794,0,5.978898007,64.33710175,97.865,pop,3.591766667
oasis,go let it out,278666,FALSE,2000,0,41.84615385,84.98498498,2,-5.631,1,5.78125,1.522956327,2.51E-05,65.65064478,64.54265159,84.192,Folk/Acoustic,4.644433333
dj ötzi,hey baby (radio mix),219240,FALSE,2010,58,68.30769231,96.8968969,10,-3.196,1,7.986111111,13.77379619,0,40.67995311,85.71428571,135.099,pop,3.654
p!nk,most girls,298960,FALSE,2000,52,76.1025641,73.27327327,2,-6.046,0,5.399305556,4.748040314,0.00446,11.84056272,71.32579651,97.922,pop,4.982666667
mariah carey,against all odds (take a look at me now) (feat. westlife),199480,FALSE,2011,0,48.30769231,51.45145145,1,-5.599,1,5.46875,65.39753639,0,12.07502931,38.33504625,117.338,pop,3.324666667
